Time_Series,AUSTRALIAN_DOLLAR/US$,EURO/US$,UK_POUND/US$,CANADIAN_DOLLAR/US$,US$
2000-01-03,1.5172,0.9847,0.6146,1.4465,1.0000
2000-01-04,1.5239,0.9700,0.6109,1.4518,1.0000
2000-01-05,1.5267,0.9676,0.6092,1.4518,1.0000
2000-01-06,1.5291,0.9686,0.6070,1.4571,1.0000
2000-01-07,1.5272,0.9714,0.6104,1.4505,1.0000
2000-01-10,1.5242,0.9754,0.6107,1.4568,1.0000
2000-01-11,1.5209,0.9688,0.6068,1.457,1.0000
2000-01-12,1.5202,0.9727,0.6073,1.455,1.0000
2000-01-13,1.4954,0.9737,0.6067,1.4495,1.0000
2000-01-14,1.5004,0.9874,0.6115,1.4497,1.0000
2000-01-18,1.5060,0.9880,0.6105,1.4502,1.0000
2000-01-19,1.5074,0.9886,0.6083,1.4527,1.0000
2000-01-20,1.5002,0.9869,0.6047,1.4484,1.0000
2000-01-21,1.5103,0.9901,0.6059,1.442,1.0000
2000-01-24,1.5281,0.9981,0.6053,1.44,1.0000
2000-01-25,1.5286,0.9959,0.6067,1.4389,1.0000
2000-01-26,1.5373,0.9989,0.6099,1.4379,1.0000
2000-01-27,1.5267,1.0111,0.6111,1.435,1.0000
2000-01-28,1.5962,1.0241,0.6169,1.4495,1.0000
2000-01-31,1.5669,1.0249,0.6180,1.4517,1.0000
2000-02-01,1.5835,1.0276,0.6192,1.4468,1.0000
2000-02-02,1.5723,1.0238,0.6227,1.4435,1.0000
2000-02-03,1.5657,1.0114,0.6240,1.4417,1.0000
2000-02-04,1.5835,1.0246,0.6283,1.4467,1.0000
2000-02-07,1.5775,1.0222,0.6283,1.4457,1.0000
2000-02-08,1.5741,1.0140,0.6209,1.4473,1.0000
2000-02-09,1.5760,1.0087,0.6205,1.4443,1.0000
2000-02-10,1.5823,1.0137,0.6228,1.45,1.0000
2000-02-11,1.5918,1.0155,0.6280,1.4515,1.0000
2000-02-14,1.5926,1.0222,0.6293,1.4547,1.0000
2000-02-15,1.5873,1.0169,0.6270,1.4585,1.0000
2000-02-16,1.5870,1.0161,0.6234,1.452,1.0000
2000-02-17,1.5823,1.0139,0.6231,1.4522,1.0000
2000-02-18,1.5893,1.0152,0.6256,1.4512,1.0000
2000-02-22,1.5982,0.9940,0.6186,1.4595,1.0000
2000-02-23,1.6139,0.9983,0.6232,1.4651,1.0000
2000-02-24,1.6276,1.0069,0.6257,1.4587,1.0000
2000-02-25,1.6194,1.0243,0.6286,1.4505,1.0000
2000-02-28,1.6351,1.0342,0.6275,1.4538,1.0000
2000-02-29,1.6247,1.0370,0.6337,1.4505,1.0000
2000-03-01,1.6483,1.0309,0.6310,1.447,1.0000
2000-03-02,1.6455,1.0396,0.6343,1.4543,1.0000
2000-03-03,1.6442,1.0397,0.6325,1.451,1.0000
2000-03-06,1.6622,1.0413,0.6356,1.4555,1.0000
2000-03-07,1.6570,1.0460,0.6340,1.4527,1.0000
2000-03-08,1.6410,1.0443,0.6307,1.4592,1.0000
2000-03-09,1.6247,1.0326,0.6323,1.457,1.0000
2000-03-10,1.6297,1.0353,0.6332,1.4575,1.0000
2000-03-13,1.6221,1.0365,0.6336,1.4614,1.0000
2000-03-14,1.6287,1.0369,0.6359,1.4632,1.0000
2000-03-15,1.6327,1.0314,0.6357,1.468,1.0000
2000-03-16,1.6375,1.0299,0.6350,1.4724,1.0000
2000-03-17,1.6483,1.0316,0.6367,1.4728,1.0000
2000-03-20,1.6488,1.0299,0.6375,1.4703,1.0000
2000-03-21,1.6393,1.0306,0.6359,1.4662,1.0000
2000-03-22,1.6513,1.0408,0.6367,1.472,1.0000
2000-03-23,1.6554,1.0319,0.6317,1.4727,1.0000
2000-03-24,1.6491,1.0284,0.6285,1.465,1.0000
2000-03-27,1.6356,1.0368,0.6307,1.4605,1.0000
2000-03-28,1.6284,1.0401,0.6300,1.4541,1.0000
2000-03-29,1.6329,1.0500,0.6301,1.4555,1.0000
2000-03-30,1.6327,1.0423,0.6281,1.4557,1.0000
2000-03-31,1.6496,1.0445,0.6281,1.4538,1.0000
2000-04-03,1.6466,1.0460,0.6258,1.4548,1.0000
2000-04-04,1.6578,1.0430,0.6264,1.4531,1.0000
2000-04-05,1.6521,1.0366,0.6289,1.4548,1.0000
2000-04-06,1.6622,1.0438,0.6329,1.4515,1.0000
2000-04-07,1.6658,1.0428,0.6317,1.4574,1.0000
2000-04-10,1.6692,1.0430,0.6318,1.4615,1.0000
2000-04-11,1.6787,1.0426,0.6300,1.4635,1.0000
2000-04-12,1.6750,1.0470,0.6296,1.4623,1.0000
2000-04-13,1.6770,1.0500,0.6297,1.4661,1.0000
2000-04-14,1.6745,1.0456,0.6305,1.4767,1.0000
2000-04-17,1.6912,1.0471,0.6308,1.4855,1.0000
2000-04-18,1.6818,1.0552,0.6344,1.4837,1.0000
2000-04-19,1.6787,1.0673,0.6338,1.4761,1.0000
2000-04-20,1.6861,1.0666,0.6329,1.4725,1.0000
2000-04-21,1.6878,1.0662,0.6335,1.475,1.0000
2000-04-24,1.6821,1.0643,0.6329,1.4763,1.0000
2000-04-25,1.6790,1.0793,0.6334,1.4699,1.0000
2000-04-26,1.6978,1.0850,0.6331,1.4758,1.0000
2000-04-27,1.7021,1.1010,0.6350,1.4792,1.0000
2000-04-28,1.7132,1.1002,0.6427,1.4818,1.0000
2000-05-01,1.7241,1.0965,0.6428,1.4783,1.0000
2000-05-02,1.7074,1.1028,0.6414,1.4857,1.0000
2000-05-03,1.6949,1.1247,0.6408,1.4923,1.0000
2000-05-04,1.6909,1.1227,0.6479,1.498,1.0000
2000-05-05,1.6849,1.1169,0.6541,1.498,1.0000
2000-05-08,1.7036,1.1173,0.6532,1.4927,1.0000
2000-05-09,1.7159,1.1083,0.6530,1.4945,1.0000
2000-05-10,1.7197,1.0993,0.6599,1.4955,1.0000
2000-05-11,1.7271,1.1085,0.6668,1.49,1.0000
2000-05-12,1.7212,1.1013,0.6591,1.4872,1.0000
2000-05-15,1.7425,1.0943,0.6633,1.4897,1.0000
2000-05-16,1.7322,1.1046,0.6663,1.4862,1.0000
2000-05-17,1.7590,1.1210,0.6709,1.4992,1.0000
2000-05-18,1.7535,1.1171,0.6749,1.5007,1.0000
2000-05-19,1.7458,1.1178,0.6732,1.4963,1.0000
2000-05-22,1.7422,1.1067,0.6708,1.4983,1.0000
2000-05-23,1.7400,1.1072,0.6790,1.5036,1.0000
2000-05-24,1.7504,1.0994,0.6777,1.5085,1.0000
2000-05-25,1.7544,1.1023,0.6800,1.5057,1.0000
2000-05-26,1.7495,1.0741,0.6723,1.5045,1.0000
2000-05-30,1.7337,1.0737,0.6689,1.5036,1.0000
2000-05-31,1.7519,1.0720,0.6681,1.4977,1.0000
2000-06-01,1.7479,1.0745,0.6705,1.491,1.0000
2000-06-02,1.7271,1.0602,0.6632,1.4785,1.0000
2000-06-05,1.7206,1.0559,0.6607,1.4779,1.0000
2000-06-06,1.6987,1.0449,0.6564,1.478,1.0000
2000-06-07,1.6949,1.0417,0.6568,1.4785,1.0000
2000-06-08,1.7013,1.0473,0.6640,1.48,1.0000
2000-06-09,1.7053,1.0498,0.6632,1.4765,1.0000
2000-06-12,1.6915,1.0478,0.6614,1.4765,1.0000
2000-06-13,1.6742,1.0396,0.6609,1.4697,1.0000
2000-06-14,1.6647,1.0428,0.6656,1.4695,1.0000
2000-06-15,1.6625,1.0493,0.6621,1.4758,1.0000
